id,ingredients
145,"Dark rum, Orange, Surge, Cranberry juice"
146,"Bailey's irish cream, Godiva liqueur, Kahlua, Butterscotch schnapps, Milk"
147,"Tequila, Tomato juice, Lemon juice, Tabasco sauce, Celery salt, Lemon"
148,"Vodka, Tomato juice, Lemon juice, Worcestershire sauce, Tabasco sauce, Lime"
149,"Vodka, Blue Curacao, Lemonade, Cherry"
150,"Tequila, Blue Curacao, Lime juice, Salt"
151,"Añejo rum, Tia maria, Vodka, Orange juice, Lemon juice"
152,"Gin, Triple sec, Blue Curacao, Bitters, Maraschino cherry, Lemon peel"
153,"Midori melon liqueur, Jägermeister, Goldschlager"
154,"Sweet Vermouth, Scotch, Benedictine, Lemon peel"
155,"Gin, Dry Vermouth, Bitters, Maraschino liqueur, Maraschino cherry"
156,"Vanilla Ice-Cream, Milk, Godiva liqueur, Whipped Cream, caramel sauce, chocolate sauce, Mini-snickers bars"
157,"Pineapple juice, Passion fruit juice, Lemon juice, Grenadine"
158,"Light rum, Brandy, Triple sec, Lime"
159,"Blended whiskey, Lemon, Powdered sugar, Egg white, Lemon, Cherry"
160,"Sugar, Water, Lemon juice, Bourbon, Lemon peel"
161,"Bourbon, Lemon juice, Sugar, Orange, Maraschino cherry"
162,"Gin, Triple sec, Lemon juice, Grenadine, Egg white"
163,"Everclear, Vodka, Mountain Dew, Surge, Lemon juice, Rum"
164,"Sambuca, Erin Cream, Advocaat"
165,"Gin, lemon juice, Sugar syrup, Creme de Mure"
166,"Vanilla ice-cream, Coca-Cola, Bourbon"
167,"Brandy, Creme de Cacao, Light cream, Nutmeg"
168,"Sugar, Club soda, Lemon, Brandy, Maraschino cherry, Orange"
169,"Brandy, Egg, Sugar, Light cream, Nutmeg"
170,"Brandy, Lemon, Powdered sugar, Lemon, Cherry"
171,"Tequila, Tabasco sauce"
172,"Grenadine, Kahlua, Bailey's irish cream"
173,"Vodka, Chambord raspberry liqueur, Peachtree schnapps, Cranberry juice"
174,"Vodka, Banana liqueur, Orange juice, Peach schnapps"
175,"Corona, Bacardi Limon"
176,"Bailey's irish cream, Kahlua, Sambuca"
177,"Vanilla Ice-Cream, Butterscotch schnapps, Milk, Vodka"
178,"Coffee, Milk, Triple sec, Brandy"
179,"Sugar, Lime, Cachaca"
180,"Lime, Sugar, White rum, Ice"
181,"Blended whiskey, Lemon, Lime, Powdered sugar, Grenadine, Carbonated water"
182,"Kahlua, Galliano, Soda water"
183,"Lager, Campari"
184,"Corona, Light rum"
185,"Orange, Vodka, Sugar"
186,"Gin, Maraschino liqueur, Lemon juice, Orange bitters, Cherry"
187,"Gin, Lemon juice, Maraschino liqueur, Orange bitters, Egg yolk"
188,"Cocoa powder, Sugar, Cornstarch, Water, Milk"
189,"Champagne, Sugar, Bitters, Lemon peel, Cognac"
190,"Gin, Tequila, Vodka, White rum, Triple Sec, Cherry Grenadine, Sweet and sour, Club soda"
191,"Light rum, Cherry brandy, Light cream"
192,"Light rum, Port, Lemon, Powdered sugar, Egg white, Carbonated water"
193,"Milk, Chocolate, Cinnamon, Egg"
194,"Kahlua, Vodka, Chocolate ice-cream"
195,"Chocolate, Milk, Water"
196,"Chocolate liqueur, Milk, Amaretto"
197,"Banana liqueur, Creme de Cacao, Chocolate ice-cream, Chocolate syrup, Chocolate milk, Whipped cream, Cherry, Banana"
198,"Bacardi Limon, Coca-Cola"
199,"Brandy, Triple sec, Lemon juice"
200,"Bitters, Water, Sugar, Bourbon, Orange, Maraschino cherry"
201,"Sweet Vermouth, Sloe gin, Wine"
202,"Gin, Grenadine, Lemon, Egg white"
203,"Coffee, Vanilla extract, Sugar, Vodka, Water"
204,"Water, Sugar, Coffee, Vanilla, Vodka, Caramel coloring"
205,"Coca-Cola, Lemon juice"
206,"Absolut Citron, Lime juice, Cointreau, Cranberry juice"
207,"Cointreau, Vodka, Lime, Cranberry juice"
208,"Cranberries, Sugar, Light rum"
209,"Cranberry juice, Sugar, Pineapple juice, Almond flavoring, Ginger ale"
210,"Spiced rum, Ginger ale"
211,"Sugar, Water, Grain alcohol, Peppermint extract, Food coloring"
212,"Dark rum, Lime, Coca-Cola, Ice"
213,"Light rum, Lime, Coca-Cola"
214,"Light rum, Lime, Powdered sugar"
215,"Whiskey, Hot Damn"
216,"Coffee, Everclear"
217,"demerara Sugar, Lime, Cachaca"
218,"Dark Rum, Ginger Beer"
219,"Cherry Heering, Soda water, Orange juice, Ice"
220,"gin, Peach Bitters, Mint"
221,"Lager, Cider, Blackcurrant cordial"
222,"Vodka, Dry Vermouth, Olive Brine, Lemon, Olive"
223,"Kahlua, Sambuca, Bailey's irish cream"
224,"Fruit punch, Sprite, Tequila, 151 proof rum"
225,"Gin, Ginger ale, Lime"
226,"Heavy cream, Milk, Cinnamon, Vanilla, Chocolate, Whipped cream"
227,"Scotch, Dry Vermouth, Lemon peel"
228,"Dubonnet Rouge, Gin, Bitters, Lemon peel"
229,"Pisco, Lime Juice, Pineapple Syrup, St. Germain, Angostura Bitters, Pepper, Lavender"
230,"Chocolate syrup, Milk, Soda water"
231,"Egg yolk, Sugar, Nutmeg, Sugar, Milk, Light rum, Bourbon, Vanilla extract, Salt, Whipping cream, Egg white"
232,"Egg, Sugar, Condensed milk, Milk, Vanilla extract, Rum, Nutmeg"
233,"Egg, Sugar, Salt, Milk, Vanilla extract"
234,"Brandy, Gin, Sweet Vermouth, Carbonated water, Lemon peel"
235,"Apricot brandy, Gin, Dry Vermouth, Grenadine, Lemon juice, Cherry"
236,"Vodka, Kahlua, Sugar syrup"
237,"Firewater, Absolut Peppar, Tabasco sauce"
238,"Amaretto, Vodka, 151 proof rum, Dr. Pepper, Beer"
239,"Kahlua, Sambuca, Blue Curacao, Bailey's irish cream"
240,"Sambuca, Sarsaparilla"
241,"Gin, Triple sec"
242,"Scotch, Sweet Vermouth, Bitters, Sugar syrup"
243,"Amaretto, Creme de Cacao, Light cream"
244,"Coffee, Milk, Sugar"
245,"Jägermeister, Sambuca, Vodka"
246,"Gin, Sugar, Lemon juice, Champagne, Orange, Maraschino cherry"
247,"Gin, Sugar, Lemon juice, Champagne, Orange, Maraschino cherry"
248,"Cognac, Amaretto"
249,"Vodka, Raspberry Liqueur, pineapple juice"
250,"Blended whiskey, Benedictine, Lemon, Lime, Lemon, Lime"
251,"Light rum, Triple sec, Lime juice, Sugar, Cherry, Ice"
252,"Light rum, Lime juice, Mint, Sugar"
253,"Light rum, Pineapple, Lime juice, Sugar"
254,"Apple juice, Strawberries, Sugar, Lemon, Apple, Soda water, Ice"
255,"Yoghurt, Fruit juice"
256,"Yoghurt, Banana, Orange juice, Fruit, Ice"
257,"Coffee, Peach schnapps"
258,"Galliano, Ginger ale, Ice"
259,"Peach Vodka, Lemon juice, Galliano, Sirup of roses"
260,"Gin, Brandy, Sweet Vermouth, Club soda"
261,"Dark rum, Vodka, Triple sec, Tequila, Melon liqueur, Mountain Dew"
262,"Gin, Tonic water, Lime"
263,"Gin, Carbonated water, Powdered sugar, Orange spiral, Lemon peel"
264,"Gin, Lemon juice, Sugar, Grenadine, Maraschino cherry, Orange"
265,"Gin, Lemon, Powdered sugar, Carbonated water"
266,"Gin, Grenadine, lemon, Soda Water, Lime"
267,"Gin, Lemon, Powdered sugar, Water, Orange peel"
268,"Gin, Carbonated water, Sugar, Mint, Orange, Cherry"
269,"Gin, Lemon juice, Sugar, Orange, Maraschino cherry"
270,"Gin, Grenadine, Powdered sugar, Pineapple, Strawberries, Carbonated water"
271,"Lime juice, Sugar, Gin, Bitters, Club soda"
